65;68;Tugla;3;2;0;0;1;0;0;0;0;0
58;83;Tugla Tahil;3;2;0;0;1;0;0;0;0;0
68;78;Tugla;7;4;0;0;3;0;0;0;0;0
70;74;Tugla;3;3;0;0;2;0;0;0;0;0
61;85;Tugla Tahil;8;6;0;0;3;0;0;0;0;0
60;86;Tugla;14;8;0;0;4;0;0;0;0;0
67;78;Tugla Tahil;2;1;0;0;0;0;0;0;0;0
71;73;Tugla;12;12;0;0;6;0;0;0;0;0
44;90;Tugla;1;1;0;0;1;0;0;0;0;0
45;91;Tugla Tahil;7;4;0;0;3;0;0;0;0;0
28;81;Tugla;2;1;0;0;1;0;0;0;0;0
44;91;Tugla;4;4;0;0;1;0;0;0;0;0
44;92;Tugla Tahil;8;6;0;0;2;0;0;0;0;0
62;92;Tugla;7;4;0;0;3;0;0;0;0;0
44;94;Tugla;6;4;0;0;3;0;0;0;0;0
77;72;Tugla;3;3;0;0;2;0;0;0;0;0
60;92;Tugla;6;6;0;0;3;0;0;0;0;0
77;73;Tugla Tahil;7;5;0;0;3;0;0;0;0;0
76;73;Tugla Tahil;6;6;0;0;2;0;0;0;0;0
59;93;Tugla;6;5;0;0;2;0;0;0;0;0
44;95;Tugla;8;5;0;0;3;0;0;0;0;0
60;93;Tugla Tahil;14;10;0;0;4;0;0;0;0;0
80;53;Odun;1;0;0;0;0;0;0;0;0;0
34;96;Tugla;24;12;0;0;9;0;0;0;0;0
34;95;Tugla;6;4;0;0;2;0;0;0;0;0
36;96;Tugla;6;6;0;0;3;0;0;0;0;0
83;69;Tugla;24;12;0;0;6;0;0;0;0;0
80;76;Tugla;12;12;0;0;4;0;0;0;0;0
62;98;Tugla;16;12;0;0;6;0;0;0;0;0
83;70;Tugla;16;12;0;0;4;0;0;0;0;0
66;97;Tugla Tahil;7;5;0;0;2;0;0;0;0;0
62;99;Tugla;18;18;0;0;9;0;0;0;0;0
31;96;Tugla;6;6;0;0;3;0;0;0;0;0
72;94;Tugla Tahil;6;6;0;0;3;0;0;0;0;0
82;85;Tugla Tahil;7;4;0;0;3;0;0;0;0;0
30;96;Tugla Tahil;14;10;0;0;4;0;0;0;0;0
59;102;Tugla Tahil;7;6;0;0;3;0;0;0;0;0
69;99;Tugla;8;4;0;0;2;0;0;0;0;0
87;70;Tugla;18;15;0;0;9;0;0;0;0;0
68;98;Tugla;16;12;0;0;4;0;0;0;0;0
84;83;Tugla Tahil;8;4;0;0;2;0;0;0;0;0
36;95;Tugla;7;37;0;0;2;0;0;0;0;0
82;89;Tugla Tahil;7;5;0;0;2;0;0;0;0;0
73;97;Tugla;6;6;0;0;2;0;0;0;0;0
88;70;Tugla;7;6;0;0;2;0;0;0;0;0
10;79;Tugla;1;1;0;0;1;0;0;0;0;0
58;106;Tugla Tahil;12;12;0;0;6;0;0;0;0;0
15;94;Tugla Tahil;1;0;0;0;0;0;0;0;0;0
57;106;Tugla;6;5;0;0;2;0;0;0;0;0
75;101;Tugla;7;4;0;0;3;0;0;0;0;0
87;86;Tugla Tahil;24;12;0;0;6;0;0;0;0;0
41;106;Tugla;8;6;0;0;2;0;0;0;0;0
19;97;Tugla;6;4;0;0;3;0;0;0;0;0
83;96;Tugla;14;8;0;0;6;0;0;0;0;0
50;112;Tugla;18;12;0;0;9;0;0;0;0;0
82;97;Tugla Tahil;8;6;0;0;3;0;0;0;0;0
66;109;Tugla;8;5;0;0;3;0;0;0;0;0
81;29;Demir Tahil;1;0;0;0;0;0;0;0;0;0
93;73;Tugla;6;6;0;0;2;0;0;0;0;0
59;114;Tugla;7;4;0;0;3;0;0;0;0;0
65;112;Tugla Tahil;8;5;0;0;3;0;0;0;0;0
37;114;Tugla;8;4;0;0;3;0;0;0;0;0
89;95;Tugla Tahil;8;5;0;0;3;0;0;0;0;0
64;111;Tugla;6;5;0;0;2;0;0;0;0;0
57;113;Tugla;7;5;0;0;2;0;0;0;0;0
26;106;Tugla Tahil;7;6;0;0;2;0;0;0;0;0
93;88;Tugla;6;4;0;0;2;0;0;0;0;0
92;86;Tugla;6;6;0;0;2;0;0;0;0;0
58;115;Tugla;12;8;0;0;4;0;0;0;0;0
99;69;Tugla Tahil;6;5;0;0;3;0;0;0;0;0
23;107;Tugla;7;6;0;0;3;0;0;0;0;0
99;76;Tugla;8;5;0;0;3;0;0;0;0;0
22;108;Tugla Tahil;21;15;0;0;9;0;0;0;0;0
97;87;Tugla;8;4;0;0;3;0;0;0;0;0
88;96;Tugla Tahil;8;6;0;0;2;0;0;0;0;0
99;67;Tugla;6;6;0;0;3;0;0;0;0;0
97;86;Tugla;16;8;0;0;4;0;0;0;0;0
58;116;Tugla;6;6;0;0;3;0;0;0;0;0
8;98;Tugla;12;8;0;0;6;0;0;0;0;0
74;109;Tugla;6;6;0;0;2;0;0;0;0;0
101;81;Tugla;8;4;0;0;3;0;0;0;0;0
